Dashboard: CS: 138 Reinforcement Learning Project

Page: Page 1

Title:
Description:

Consent - Do you consent to your answers being used anonymously as part of my CS: 138 Reinforcement Learning final paper?,Count,Number of responses
Yes,1,1

Title:
Description:

Consent - Do you consent to your answers being used anonymously as part of my CS: 138 Reinforcement Learning final paper?,Count,Count
Yes,100%,1

Title:
Description:

Consent - Do you consent to your answers being used anonymously as part of my CS: 138 Reinforcement Learning final paper?,Average (Consent - Do you consent to your answers being used anonymously as part of my CS: 138 Reinforcement Learning final paper?),Minimum (Consent - Do you consent to your answers being used anonymously as part of my CS: 138 Reinforcement Learning final paper?),Maximum (Consent - Do you consent to your answers being used anonymously as part of my CS: 138 Reinforcement Learning final paper?),Count
Yes,1.00,1.00,1.00,1

Title:
Description:

"Instructions - You will be presented with a character and 30 distinct situations. For each situation, you will evaluate 3 automatically generated facial expressions representing the character’s reaction. You will be tasked with rating each face on a scale from 1 to 5 based on how appropriate or expressive it appears. Do you understand?",Count,Number of responses
Yes,1,1

Title:
Description:

"Instructions - You will be presented with a character and 30 distinct situations. For each situation, you will evaluate 3 automatically generated facial expressions representing the character’s reaction. You will be tasked with rating each face on a scale from 1 to 5 based on how appropriate or expressive it appears. Do you understand?",Count,Count
Yes,100%,1

Title:
Description:

"Instructions - You will be presented with a character and 30 distinct situations. For each situation, you will evaluate 3 automatically generated facial expressions representing the character’s reaction. You will be tasked with rating each face on a scale from 1 to 5 based on how appropriate or expressive it appears. Do you understand?","Average (Instructions - You will be presented with a character and 30 distinct situations. For each situation, you will evaluate 3 automatically generated facial expressions representing the character’s reaction. You will be tasked with rating each face on a scale from 1 to 5 based on how appropriate or expressive it appears. Do you understand?)","Minimum (Instructions - You will be presented with a character and 30 distinct situations. For each situation, you will evaluate 3 automatically generated facial expressions representing the character’s reaction. You will be tasked with rating each face on a scale from 1 to 5 based on how appropriate or expressive it appears. Do you understand?)","Maximum (Instructions - You will be presented with a character and 30 distinct situations. For each situation, you will evaluate 3 automatically generated facial expressions representing the character’s reaction. You will be tasked with rating each face on a scale from 1 to 5 based on how appropriate or expressive it appears. Do you understand?)",Count
Yes,1.00,1.00,1.00,1

Title:
Description:

Rate the faces on a scale of 1 to 5 based on how appropriate or expressive...,Average,Minimum,Maximum,Count
Face 1,3.00,3.00,3.00,1
Face 2,2.00,2.00,2.00,1
Face 3,,,,0

Title:
Description:

Rate the faces on a scale of 1 to 5 based on how appropriate or expressive...,Average,Minimum,Maximum,Count
Face 1,,,,0
Face 2,4.00,4.00,4.00,1
Face 3,5.00,5.00,5.00,1

Title:
Description:

Rate the faces on a scale of 1 to 5 based on how appropriate or expressive...,Average,Minimum,Maximum,Count
Face 1,,,,0
Face 2,5.00,5.00,5.00,1
Face 3,,,,0

Title:
Description:

Rate the faces on a scale of 1 to 5 based on how appropriate or expressive...,Average,Minimum,Maximum,Count
Face 1,2.00,2.00,2.00,1
Face 2,,,,0
Face 3,,,,0

Title:
Description:

Rate the faces on a scale of 1 to 5 based on how appropriate or expressive...,Average,Minimum,Maximum,Count
Face 1,,,,0
Face 2,3.00,3.00,3.00,1
Face 3,,,,0

Title:
Description:

Rate the faces on a scale of 1 to 5 based on how appropriate or expressive...,Average,Minimum,Maximum,Count
Face 1,,,,0
Face 2,4.00,4.00,4.00,1
Face 3,4.00,4.00,4.00,1

Title:
Description:

Rate the faces on a scale of 1 to 5 based on how appropriate or expressive...,Average,Minimum,Maximum,Count
Face 1,,,,0
Face 2,3.00,3.00,3.00,1
Face 3,2.00,2.00,2.00,1

Title:
Description:

Rate the faces on a scale of 1 to 5 based on how appropriate or expressive...,Average,Minimum,Maximum,Count
Face 1,,,,0
Face 2,5.00,5.00,5.00,1
Face 3,2.00,2.00,2.00,1

Title:
Description:

Rate the faces on a scale of 1 to 5 based on how appropriate or expressive...,Average,Minimum,Maximum,Count
Face 1,,,,0
Face 2,4.00,4.00,4.00,1
Face 3,4.00,4.00,4.00,1

Title:
Description:

Rate the faces on a scale of 1 to 5 based on how appropriate or expressive...,Average,Minimum,Maximum,Count
Face 1,3.00,3.00,3.00,1
Face 2,3.00,3.00,3.00,1
Face 3,3.00,3.00,3.00,1

Title:
Description:

Rate the faces on a scale of 1 to 5 based on how appropriate or expressive...,Average,Minimum,Maximum,Count
Face 1,,,,0
Face 2,4.00,4.00,4.00,1
Face 3,,,,0

Title:
Description:

Rate the faces on a scale of 1 to 5 based on how appropriate or expressive...,Average,Minimum,Maximum,Count
Face 1,,,,0
Face 2,,,,0
Face 3,,,,0

Title:
Description:

Rate the faces on a scale of 1 to 5 based on how appropriate or expressive...,Average,Minimum,Maximum,Count
Face 1,,,,0
Face 2,4.00,4.00,4.00,1
Face 3,,,,0

Title:
Description:

Rate the faces on a scale of 1 to 5 based on how appropriate or expressive...,Average,Minimum,Maximum,Count
Face 1,,,,0
